company_name,total_jobs,Business Development,Marketing,Operations,Other,Partnerships,Product,Sales,Tech,Executive,Junior,Mid,Not Specified,Senior,enhanced_growth_signal_tag
Meesho,15,2,0,0,13,0,0,0,0,0,0,14,1,0,Multi-Signal Growth
CRED,4,0,0,0,4,0,0,0,0,0,0,0,4,0,General Growth
Yellow.ai,7,0,0,0,7,0,0,0,0,0,0,2,2,3,General Growth
Urban Company,26,26,0,0,0,0,0,0,0,0,0,0,5,21,GTM Push
Drip Capital,18,0,2,0,14,0,0,0,2,0,3,0,6,9,Hiring Spree
Razorpay,42,0,0,0,40,1,0,0,1,1,1,8,11,21,Hiring Spree
Paytm,27,2,2,1,10,0,1,10,1,0,1,5,11,10,Hiring Spree
Zolve,8,3,0,0,4,0,1,0,0,0,0,1,4,3,Multi-Signal Growth
Groww,4,0,1,0,2,0,0,0,1,0,1,0,1,2,General Growth
Chargebee,3,0,0,0,3,0,0,0,0,0,0,1,0,2,General Growth
